iteration,PINN__seed1__rel_l2_error,PINN__seed2__rel_l2_error,PINN__seed3__rel_l2_error,PINN__seed10__rel_l2_error,PINN__seed42__rel_l2_error,PINN__seed68__rel_l2_error,PINN__seed79__rel_l2_error,PINN__seed88__rel_l2_error,PINN__seed203__rel_l2_error,PINN__seed3407__rel_l2_error,PINN-RAR__seed1__rel_l2_error,PINN-RAR__seed2__rel_l2_error,PINN-RAR__seed3__rel_l2_error,PINN-RAR__seed10__rel_l2_error,PINN-RAR__seed42__rel_l2_error,PINN-RAR__seed68__rel_l2_error,PINN-RAR__seed79__rel_l2_error,PINN-RAR__seed88__rel_l2_error,PINN-RAR__seed203__rel_l2_error,PINN-RAR__seed3407__rel_l2_error,QPINN__seed1__rel_l2_error,QPINN__seed2__rel_l2_error,QPINN__seed3__rel_l2_error,QPINN__seed10__rel_l2_error,QPINN__seed42__rel_l2_error,QPINN__seed68__rel_l2_error,QPINN__seed79__rel_l2_error,QPINN__seed88__rel_l2_error,QPINN__seed203__rel_l2_error,QPINN__seed3407__rel_l2_error,QPINN-RAR__seed1__rel_l2_error,QPINN-RAR__seed2__rel_l2_error,QPINN-RAR__seed3__rel_l2_error,QPINN-RAR__seed10__rel_l2_error,QPINN-RAR__seed42__rel_l2_error,QPINN-RAR__seed68__rel_l2_error,QPINN-RAR__seed79__rel_l2_error,QPINN-RAR__seed88__rel_l2_error,QPINN-RAR__seed203__rel_l2_error,QPINN-RAR__seed3407__rel_l2_error
4500,0.14,0.16,0.13,0.16,0.17,0.12,0.17,0.11,0.18,0.12,0.14,0.22,0.12,0.16,0.16,0.15,0.19,0.11,0.18,0.15,0.2,0.24,0.12,0.18,0.21,0.12,0.19,0.19,0.2,0.16,0.16,0.27,0.18,0.19,0.17,0.13,0.21,0.15,0.22,0.21
4600,0.14,0.15,0.14,0.17,0.18,0.12,0.17,0.097,0.15,0.11,0.14,0.22,0.12,0.16,0.18,0.12,0.18,0.11,0.18,0.14,0.19,0.23,0.12,0.18,0.23,0.12,0.2,0.18,0.2,0.16,0.17,0.27,0.18,0.18,0.15,0.15,0.22,0.14,0.23,0.21
4700,0.15,0.16,0.12,0.17,0.17,0.13,0.18,0.099,0.14,0.12,0.13,0.17,0.12,0.16,0.15,0.12,0.18,0.11,0.17,0.13,0.19,0.23,0.11,0.18,0.21,0.12,0.2,0.18,0.19,0.16,0.16,0.25,0.18,0.19,0.15,0.12,0.2,0.16,0.22,0.2
4800,0.15,0.15,0.11,0.17,0.17,0.12,0.17,0.099,0.14,0.12,0.14,0.17,0.12,0.14,0.17,0.13,0.18,0.1,0.17,0.12,0.2,0.22,0.13,0.18,0.22,0.12,0.21,0.18,0.19,0.16,0.17,0.25,0.19,0.19,0.15,0.15,0.21,0.14,0.24,0.2
4900,0.14,0.15,0.11,0.18,0.16,0.11,0.16,0.098,0.13,0.11,0.13,0.18,0.18,0.16,0.17,0.12,0.19,0.1,0.18,0.12,0.19,0.2,0.12,0.18,0.25,0.13,0.2,0.18,0.19,0.15,0.18,0.27,0.19,0.18,0.16,0.13,0.2,0.14,0.22,0.2
5000,0.13,0.16,0.12,0.16,0.16,0.1,0.17,0.1,0.14,0.13,0.13,0.19,0.11,0.16,0.14,0.11,0.19,0.1,0.18,0.12,0.18,0.21,0.12,0.18,0.21,0.11,0.19,0.18,0.21,0.15,0.16,0.26,0.17,0.18,0.15,0.12,0.2,0.15,0.21,0.21
5100,0.14,0.15,0.12,0.16,0.16,0.11,0.16,0.092,0.13,0.11,0.15,0.18,0.13,0.16,0.14,0.14,0.18,0.092,0.16,0.13,0.19,0.21,0.11,0.18,0.19,0.11,0.2,0.18,0.19,0.16,0.16,0.24,0.17,0.19,0.15,0.12,0.2,0.14,0.21,0.21
5200,0.14,0.16,0.12,0.15,0.16,0.11,0.16,0.11,0.14,0.11,0.13,0.17,0.18,0.15,0.15,0.12,0.17,0.11,0.15,0.12,0.19,0.21,0.11,0.18,0.2,0.11,0.21,0.18,0.2,0.15,0.16,0.23,0.17,0.17,0.15,0.14,0.2,0.13,0.22,0.2
5300,0.14,0.16,0.11,0.16,0.16,0.11,0.17,0.11,0.16,0.11,0.14,0.2,0.11,0.15,0.16,0.13,0.17,0.086,0.17,0.12,0.19,0.2,0.11,0.17,0.21,0.12,0.21,0.17,0.19,0.15,0.17,0.23,0.18,0.17,0.15,0.13,0.21,0.14,0.21,0.2
5400,0.13,0.17,0.11,0.14,0.17,0.11,0.15,0.098,0.14,0.1,0.13,0.16,0.1,0.14,0.14,0.14,0.17,0.11,0.18,0.11,0.18,0.2,0.11,0.17,0.2,0.11,0.19,0.18,0.2,0.15,0.15,0.22,0.17,0.15,0.13,0.15,0.2,0.13,0.19,0.2
5500,0.13,0.15,0.11,0.15,0.18,0.11,0.17,0.092,0.13,0.1,0.12,0.15,0.1,0.15,0.15,0.11,0.18,0.083,0.15,0.12,0.18,0.2,0.11,0.18,0.2,0.12,0.2,0.16,0.19,0.15,0.16,0.23,0.18,0.16,0.14,0.12,0.23,0.13,0.2,0.21
5600,0.13,0.14,0.11,0.14,0.15,0.11,0.15,0.089,0.13,0.11,0.13,0.17,0.18,0.14,0.14,0.11,0.16,0.089,0.16,0.12,0.18,0.2,0.11,0.17,0.21,0.13,0.19,0.18,0.2,0.15,0.16,0.25,0.16,0.15,0.13,0.13,0.19,0.13,0.2,0.21
5700,0.13,0.15,0.1,0.13,0.15,0.11,0.16,0.092,0.12,0.1,0.12,0.15,0.25,0.13,0.17,0.11,0.16,0.1,0.16,0.11,0.18,0.2,0.1,0.16,0.19,0.13,0.19,0.17,0.2,0.14,0.16,0.23,0.17,0.16,0.13,0.12,0.19,0.13,0.2,0.19
5800,0.13,0.13,0.11,0.13,0.16,0.11,0.16,0.096,0.13,0.11,0.12,0.15,0.098,0.14,0.13,0.12,0.18,0.085,0.15,0.12,0.19,0.19,0.1,0.18,0.21,0.12,0.19,0.18,0.2,0.14,0.15,0.22,0.16,0.14,0.14,0.13,0.19,0.14,0.21,0.2
5900,0.12,0.14,0.094,0.13,0.17,0.099,0.14,0.083,0.13,0.1,0.12,0.16,0.1,0.13,0.13,0.1,0.17,0.086,0.15,0.11,0.19,0.19,0.1,0.17,0.21,0.12,0.21,0.17,0.2,0.14,0.14,0.22,0.16,0.14,0.15,0.11,0.19,0.14,0.18,0.21
6000,0.13,0.14,0.097,0.13,0.15,0.099,0.14,0.079,0.12,0.11,0.11,0.17,0.1,0.14,0.14,0.12,0.16,0.082,0.19,0.099,0.17,0.18,0.1,0.19,0.2,0.11,0.19,0.16,0.18,0.15,0.15,0.23,0.16,0.15,0.13,0.12,0.21,0.13,0.2,0.19
6100,0.13,0.13,0.1,0.13,0.15,0.098,0.15,0.098,0.12,0.13,0.13,0.19,0.11,0.14,0.15,0.12,0.17,0.12,0.19,0.12,0.18,0.19,0.1,0.17,0.2,0.11,0.21,0.17,0.19,0.13,0.15,0.21,0.18,0.16,0.14,0.18,0.19,0.13,0.19,0.19
6200,0.12,0.13,0.095,0.13,0.16,0.096,0.15,0.088,0.15,0.1,0.13,0.16,0.11,0.14,0.14,0.12,0.17,0.081,0.18,0.11,0.18,0.19,0.095,0.16,0.19,0.12,0.2,0.15,0.19,0.14,0.15,0.22,0.16,0.14,0.13,0.13,0.19,0.13,0.2,0.2
